"Zeitstempel","Wie alt bist du?","Geschlecht","Was beschreibt deine aktuelle Situation am besten?  ","Bist du (oder warst du) Mitglied in einem Sportverein? "," Wie stark interessierst du dich für Sport als Zuschauer*in (z.B. Live-Spiele, TV, Streams)?  ","Hast du schon einmal Sportwetten abgeschlossen?","Wie häufig wettest du ungefähr?","Wie viel Geld gibst du durchschnittlich pro Monat für Sportwetten aus? (Schätzung reicht)  ","Über welche Kanäle wetten Sie hauptsächlich?  ","Inwiefern spielt dein Freundes- oder Bekanntenkreis eine Rolle bei Sportwetten?","Sportwetten sind für mich ein harmloses Freizeitvergnügen","Durch mein Sportwissen habe ich bei Sportwetten einen Vorteil","  Ich setze nur Geld, das ich mir leisten kann zu verlieren  ","Ich habe meine Ausgaben für Sportwetten gut im Griff ","Ich habe schon einmal das Gefühl gehabt, zu viel Geld für Sportwetten auszugeben"
"2025/11/15 11:44:29 AM MEZ","21","Männlich","Student*in","Nein, aber ich war früher Mitglied","8","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet ein Teil der Leute, ich aber nicht","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:44:53 AM MEZ","19","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","5","Nein","","","","","","","","",""
"2025/11/15 11:45:41 AM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Privat (mit Freunden)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:47:06 AM MEZ","19","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Weder noch","Weder noch","Weder noch","Stimme eher zu","Stimme eher zu"
"2025/11/15 11:47:08 AM MEZ","27","Männlich","Sonstiges / möchte ich nicht angeben","Ja, aktuell und regelmäßig aktiv","9","Ja","Mehrmals pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme voll zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:47:11 AM MEZ","21","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1–3 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme voll zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Weder noch"
"2025/11/15 11:48:37 AM MEZ","18","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","10","Nein","","","","","","","","",""
"2025/11/15 11:49:18 AM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","9","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme eher nicht zu"
"2025/11/15 11:50:20 AM MEZ","19","Männlich","Student*in","Nein, ich war noch nie Mitglied in einem Sportverein","9","Nein","","","","","","","","",""
"2025/11/15 11:50:59 AM MEZ","19","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","9","Nein","","","","","","","","",""
"2025/11/15 11:51:13 AM MEZ","24","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","10","Ja","(Fast) täglich","Mehr als 200 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Stimme voll zu","Stimme eher zu","Stimme voll zu"
"2025/11/15 11:51:24 AM MEZ","22","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","5","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme voll zu","Stimme überhaupt nicht zu"
